DEBUG 2024-05-17 08:35:18,613 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1714980986.6860318
DEBUG 2024-05-17 08:35:18,613 autoreload File C:\python310\Lib\lzma.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,613 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\images.py first seen with mtime 1714980986.6059923
DEBUG 2024-05-17 08:35:18,613 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1714980986.6160166
DEBUG 2024-05-17 08:35:18,613 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\lxml\__init__.py first seen with mtime 1714981873.5619593
DEBUG 2024-05-17 08:35:18,613 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\move.py first seen with mtime 1714980986.610999
DEBUG 2024-05-17 08:35:18,617 autoreload File C:\python310\Lib\zoneinfo\_common.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,618 autoreload File C:\python310\Lib\asyncio\threads.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,618 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\common\service.py first seen with mtime 1715065726.356259
DEBUG 2024-05-17 08:35:18,619 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\firefox\options.py first seen with mtime 1715065726.4073024
DEBUG 2024-05-17 08:35:18,619 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\ie\__init__.py first seen with mtime 1715065726.4155312
DEBUG 2024-05-17 08:35:18,621 autoreload File C:\python310\Lib\platform.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,621 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1714980986.5963075
DEBUG 2024-05-17 08:35:18,621 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\ie\service.py first seen with mtime 1715065726.4185205
DEBUG 2024-05-17 08:35:18,622 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1714980981.9303937
DEBUG 2024-05-17 08:35:18,622 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1714980986.62616
DEBUG 2024-05-17 08:35:18,623 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\urllib3\util\util.py first seen with mtime 1714981322.3996272
